,0,1,2,3,4,5,6,7,8
74,0.814,2.337,3.7595,1.038,2.7655,2.9295,3.8425,1.112,0.13
75,0.8055,2.3155,3.724,1.027,2.7395,2.911,3.8105,1.107,0.1295
76,0.796,2.296,3.696,1.016,2.7165,2.8875,3.7785,1.0965,0.128
77,0.7865,2.2755,3.664,1.006,2.6935,2.862,3.751,1.087,0.127
78,0.7785,2.2555,3.6305,0.998,2.67,2.838,3.719,1.079,0.1255
79,0.773,2.2295,3.595,0.9905,2.65,2.815,3.689,1.0695,0.124
80,0.7665,2.214,3.5575,0.9755,2.621,2.795,3.6625,1.061,0.124
81,0.758,2.1935,3.526,0.9695,2.598,2.772,3.6275,1.0505,0.1235
82,0.7485,2.174,3.4925,0.9615,2.5745,2.7495,3.597,1.0395,0.123
83,0.739,2.1555,3.463,0.954,2.552,2.7225,3.561,1.032,0.1225
84,0.732,2.1325,3.425,0.9455,2.5315,2.701,3.531,1.0235,0.121
85,0.7265,2.1105,3.392,0.94,2.5155,2.6695,3.4935,1.018,0.119
86,0.72,2.093,3.3555,0.9335,2.4925,2.642,3.4645,1.007,0.118
87,0.7145,2.0735,3.3145,0.926,2.4695,2.619,3.435,0.9985,0.117
88,0.71,2.0485,3.2785,0.9155,2.446,2.599,3.405,0.9905,0.116
89,0.7035,2.023,3.25,0.908,2.418,2.577,3.373,0.984,0.114
90,0.693,2.0005,3.2215,0.8995,2.3935,2.5545,3.344,0.974,0.1115
91,0.6825,1.981,3.19,0.889,2.375,2.533,3.3095,0.9635,0.11
92,0.6745,1.957,3.158,0.88,2.3525,2.509,3.2845,0.9525,0.107
93,0.663,1.9435,3.127,0.869,2.334,2.4885,3.246,0.939,0.1065
94,0.66,1.9225,3.0895,0.857,2.307,2.467,3.2215,0.9275,0.106
95,0.6535,1.8975,3.0565,0.8465,2.2865,2.448,3.1905,0.9155,0.105
96,0.6435,1.8805,3.0205,0.8405,2.2635,2.4245,3.156,0.907,0.105
97,0.637,1.861,2.9885,0.8345,2.2335,2.404,3.123,0.897,0.104
98,0.631,1.852,2.9485,0.8275,2.2105,2.3795,3.0875,0.885,0.1025
99,0.6195,1.8335,2.918,0.8205,2.1875,2.353,3.0585,0.874,0.101
100,0.611,1.8155,2.884,0.813,2.1665,2.325,3.0285,0.8635,0.1
101,0.6045,1.7985,2.8495,0.8035,2.15,2.299,2.991,0.8535,0.099
102,0.598,1.777,2.8085,0.795,2.1255,2.281,2.9615,0.8465,0.097
103,0.5905,1.755,2.7775,0.7905,2.104,2.252,2.9285,0.837,0.0965
104,0.581,1.7335,2.7475,0.778,2.083,2.233,2.891,0.83,0.096
105,0.573,1.7125,2.7135,0.7705,2.061,2.2145,2.8575,0.817,0.095
106,0.567,1.6955,2.678,0.764,2.038,2.194,2.819,0.807,0.0935
107,0.5575,1.673,2.645,0.757,2.016,2.1685,2.7915,0.7955,0.0935
108,0.549,1.66,2.61,0.7475,1.9975,2.143,2.757,0.782,0.093
109,0.5425,1.639,2.581,0.7405,1.973,2.12,2.722,0.771,0.0915
110,0.534,1.6225,2.542,0.7335,1.955,2.096,2.687,0.761,0.091
111,0.5295,1.6015,2.51,0.7235,1.9285,2.0745,2.658,0.7475,0.0905
112,0.5235,1.58,2.479,0.714,1.906,2.051,2.627,0.735,0.0895
113,0.518,1.563,2.441,0.7065,1.88,2.03,2.593,0.726,0.089
114,0.5115,1.548,2.403,0.699,1.8595,2.007,2.5585,0.7135,0.088
115,0.5065,1.53,2.3645,0.695,1.8305,1.985,2.5245,0.7065,0.087
116,0.4975,1.508,2.3325,0.688,1.803,1.9595,2.4965,0.6995,0.0865
117,0.4905,1.4775,2.3035,0.6805,1.7795,1.941,2.4655,0.6915,0.083
118,0.484,1.4575,2.2745,0.6725,1.755,1.9125,2.4405,0.6755,0.082
119,0.474,1.435,2.244,0.6645,1.7365,1.8845,2.409,0.6665,0.0815
120,0.4685,1.415,2.21,0.6555,1.715,1.854,2.3765,0.662,0.0805
121,0.462,1.3955,2.1785,0.6495,1.6915,1.8275,2.341,0.654,0.079
122,0.455,1.3765,2.146,0.6365,1.668,1.807,2.31,0.6435,0.0775
123,0.446,1.3625,2.119,0.63,1.647,1.776,2.267,0.637,0.077
124,0.436,1.3455,2.0835,0.62,1.6295,1.752,2.237,0.6235,0.076
125,0.4295,1.3185,2.0515,0.6145,1.607,1.725,2.207,0.6155,0.076
126,0.422,1.295,2.0175,0.606,1.586,1.7055,2.17,0.609,0.075
127,0.4145,1.277,1.9845,0.5975,1.5645,1.687,2.132,0.597,0.0735
128,0.41,1.2535,1.952,0.5915,1.541,1.658,2.0995,0.591,0.0725
129,0.404,1.235,1.9195,0.5785,1.5235,1.632,2.0645,0.5815,0.072
130,0.398,1.2115,1.89,0.568,1.4975,1.608,2.033,0.5745,0.0715
131,0.3915,1.1915,1.857,0.559,1.471,1.582,2.004,0.567,0.0705
132,0.384,1.1755,1.824,0.552,1.4505,1.5545,1.9675,0.5565,0.0705
133,0.378,1.1645,1.797,0.544,1.425,1.5235,1.9285,0.5455,0.0705
134,0.368,1.1415,1.762,0.5365,1.405,1.5,1.8995,0.536,0.0695
135,0.3605,1.123,1.7275,0.528,1.3775,1.475,1.8725,0.527,0.0685
136,0.353,1.106,1.701,0.5205,1.354,1.448,1.8345,0.5185,0.0655
137,0.3465,1.083,1.6715,0.5065,1.3325,1.4275,1.801,0.509,0.065
138,0.3425,1.066,1.643,0.4945,1.305,1.401,1.7685,0.4995,0.064
139,0.339,1.0455,1.6085,0.4825,1.2825,1.379,1.736,0.49,0.0625
140,0.332,1.0265,1.5795,0.474,1.258,1.3535,1.703,0.48,0.0605
141,0.326,1.0055,1.548,0.4665,1.2345,1.3285,1.6695,0.4705,0.0595
142,0.3175,0.985,1.509,0.4585,1.2135,1.3085,1.6375,0.462,0.0585
143,0.31,0.9655,1.4765,0.4475,1.1865,1.288,1.605,0.4545,0.058
144,0.3035,0.9435,1.449,0.44,1.162,1.259,1.573,0.446,0.057
145,0.295,0.922,1.423,0.4325,1.137,1.2325,1.537,0.44,0.0555
146,0.2875,0.906,1.39,0.422,1.1145,1.2075,1.506,0.429,0.0535
147,0.2835,0.8845,1.36,0.4145,1.087,1.1785,1.4765,0.42,0.053
148,0.279,0.8675,1.323,0.405,1.0635,1.1515,1.449,0.4105,0.05
149,0.2715,0.8475,1.2995,0.3955,1.0365,1.1255,1.414,0.401,0.0495
150,0.2645,0.829,1.2685,0.384,1.018,1.095,1.384,0.392,0.047
151,0.257,0.808,1.237,0.3745,0.9995,1.068,1.3535,0.3815,0.0445
152,0.2495,0.791,1.2105,0.366,0.975,1.041,1.3195,0.3705,0.042
153,0.2415,0.77,1.1805,0.3555,0.947,1.0195,1.2865,0.364,0.042
154,0.236,0.751,1.151,0.345,0.925,0.9895,1.254,0.3555,0.041
155,0.2275,0.73,1.1245,0.3375,0.9005,0.9575,1.225,0.3475,0.0395
156,0.224,0.707,1.0895,0.3255,0.8815,0.9335,1.1885,0.3425,0.039
157,0.2185,0.6925,1.0545,0.318,0.857,0.908,1.153,0.332,0.039
158,0.211,0.6695,1.027,0.3095,0.831,0.8815,1.121,0.3255,0.038
159,0.204,0.649,0.997,0.3045,0.802,0.855,1.0895,0.3165,0.038
160,0.1995,0.629,0.973,0.295,0.773,0.823,1.0585,0.3085,0.0375
161,0.1915,0.611,0.9375,0.2875,0.751,0.7935,1.0305,0.2995,0.0365
162,0.185,0.5925,0.9095,0.279,0.726,0.7665,0.9975,0.289,0.035
163,0.181,0.5735,0.882,0.2695,0.704,0.737,0.9625,0.279,0.033
164,0.1755,0.5565,0.8485,0.2615,0.6785,0.7115,0.929,0.2695,0.0325
165,0.1705,0.527,0.8155,0.252,0.657,0.688,0.9,0.2625,0.032
166,0.1655,0.507,0.7835,0.243,0.6355,0.6615,0.8645,0.2555,0.03
167,0.1585,0.485,0.7575,0.2385,0.615,0.635,0.8285,0.2415,0.028
168,0.1535,0.4655,0.725,0.2285,0.5945,0.609,0.7975,0.23,0.0255
169,0.1435,0.4465,0.6965,0.2195,0.5735,0.5815,0.764,0.2205,0.025
170,0.137,0.433,0.674,0.2095,0.5495,0.552,0.729,0.204,0.024
171,0.1325,0.414,0.644,0.1975,0.5265,0.525,0.6955,0.1955,0.023
172,0.1255,0.396,0.621,0.1905,0.4995,0.5005,0.658,0.1825,0.0215
173,0.1195,0.38,0.5935,0.178,0.4725,0.478,0.6225,0.172,0.0205
174,0.111,0.3565,0.5595,0.1705,0.4515,0.4545,0.5915,0.163,0.02
175,0.1075,0.3375,0.5255,0.159,0.423,0.4365,0.557,0.1555,0.018
176,0.101,0.3225,0.4915,0.1475,0.3985,0.4095,0.5255,0.1475,0.0175
177,0.0925,0.3035,0.4585,0.139,0.374,0.3845,0.4975,0.136,0.017
178,0.087,0.279,0.423,0.131,0.354,0.3575,0.4685,0.1275,0.0165
179,0.0805,0.26,0.3915,0.1205,0.3335,0.33,0.4345,0.1195,0.0155
180,0.072,0.2395,0.358,0.1145,0.3035,0.3065,0.408,0.11,0.015
181,0.067,0.222,0.3315,0.1075,0.278,0.2775,0.3725,0.0995,0.013
182,0.06,0.204,0.3065,0.097,0.2515,0.2505,0.341,0.0875,0.012
183,0.054,0.1835,0.279,0.089,0.2315,0.224,0.3035,0.078,0.009
