,0,1,2,3,4,5,6,7,8
75,0.327,0.914,0.9235,0.4015,0.913,0.6725,1.892,0.5335,0.083
76,0.3195,0.8915,0.904,0.391,0.8895,0.657,1.8485,0.518,0.0825
77,0.315,0.8675,0.883,0.3815,0.8745,0.6395,1.7985,0.5025,0.081
78,0.306,0.8445,0.864,0.371,0.851,0.6255,1.754,0.4895,0.079
79,0.2965,0.825,0.8425,0.3605,0.8265,0.613,1.71,0.476,0.076
80,0.2865,0.805,0.8245,0.3485,0.8035,0.5935,1.664,0.4675,0.0745
81,0.281,0.782,0.7995,0.3365,0.7815,0.578,1.6225,0.4545,0.0735
82,0.2755,0.7615,0.776,0.3275,0.756,0.562,1.5795,0.4415,0.071
83,0.2695,0.747,0.753,0.3195,0.734,0.547,1.5265,0.425,0.0705
84,0.265,0.7235,0.7315,0.3085,0.703,0.5315,1.487,0.4155,0.068
85,0.256,0.7105,0.7095,0.2935,0.6825,0.5145,1.439,0.405,0.0645
86,0.2485,0.6875,0.685,0.2865,0.6635,0.4925,1.397,0.3925,0.0635
87,0.242,0.6615,0.6655,0.281,0.6415,0.4765,1.3495,0.379,0.0615
88,0.235,0.637,0.648,0.271,0.623,0.46,1.3,0.367,0.0585
89,0.2295,0.613,0.6305,0.258,0.601,0.439,1.261,0.3535,0.0555
90,0.221,0.5885,0.615,0.2475,0.581,0.426,1.209,0.341,0.0535
91,0.2145,0.562,0.5945,0.2415,0.5585,0.4105,1.1615,0.3285,0.0525
92,0.202,0.5405,0.573,0.2295,0.54,0.3995,1.1125,0.3175,0.051
93,0.1945,0.518,0.5525,0.2195,0.5185,0.3825,1.065,0.3055,0.051
94,0.1905,0.5025,0.5305,0.209,0.497,0.3645,1.016,0.2895,0.049
95,0.18,0.4805,0.5105,0.198,0.476,0.3475,0.9695,0.281,0.047
96,0.1705,0.461,0.4915,0.1875,0.454,0.329,0.9245,0.2685,0.045
97,0.1605,0.4335,0.473,0.1795,0.4335,0.312,0.8805,0.258,0.0425
98,0.152,0.4065,0.4495,0.1695,0.414,0.297,0.84,0.2445,0.0415
99,0.148,0.384,0.4235,0.16,0.391,0.2805,0.797,0.2315,0.0405
100,0.1425,0.3655,0.396,0.152,0.367,0.264,0.7545,0.2175,0.0385
101,0.131,0.342,0.3725,0.144,0.344,0.25,0.7125,0.206,0.037
102,0.1195,0.315,0.355,0.139,0.3205,0.236,0.669,0.1915,0.035
103,0.1115,0.2925,0.33,0.132,0.298,0.218,0.6255,0.182,0.0325
104,0.1035,0.2675,0.302,0.125,0.2755,0.205,0.59,0.166,0.029
105,0.096,0.247,0.2805,0.1165,0.255,0.194,0.539,0.1495,0.0275
106,0.085,0.2265,0.2575,0.1095,0.2325,0.176,0.497,0.137,0.0255
107,0.0765,0.21,0.2305,0.102,0.213,0.1615,0.448,0.1235,0.023
108,0.0655,0.1875,0.2025,0.091,0.1995,0.1495,0.403,0.109,0.022
