,0,1,2,3,4,5,6,7,8
74,0.5485,1.194,1.7335,0.68,1.1985,1.1845,1.8725,0.6205,0.176
75,0.544,1.1735,1.7025,0.669,1.18,1.155,1.841,0.613,0.1715
76,0.535,1.158,1.6765,0.655,1.1555,1.137,1.802,0.602,0.17
77,0.53,1.1435,1.653,0.646,1.126,1.116,1.758,0.593,0.167
78,0.5205,1.1225,1.628,0.6335,1.107,1.092,1.726,0.5805,0.164
79,0.5125,1.1065,1.607,0.622,1.083,1.0695,1.6835,0.5705,0.161
80,0.5055,1.083,1.5825,0.613,1.058,1.0465,1.649,0.5605,0.159
81,0.5005,1.068,1.557,0.6015,1.035,1.016,1.6095,0.5535,0.1575
82,0.491,1.0505,1.5345,0.592,1.0075,0.9955,1.5715,0.5415,0.156
83,0.485,1.0315,1.5115,0.5815,0.9805,0.9705,1.5395,0.5275,0.154
84,0.4755,1.011,1.483,0.57,0.962,0.9505,1.5005,0.5195,0.151
85,0.4685,0.9925,1.4555,0.5555,0.9425,0.929,1.467,0.505,0.149
86,0.4615,0.9745,1.421,0.547,0.916,0.9045,1.44,0.4935,0.148
87,0.4545,0.957,1.3935,0.5335,0.893,0.882,1.4055,0.4825,0.146
88,0.446,0.9425,1.3595,0.522,0.8755,0.859,1.3685,0.471,0.145
89,0.4345,0.9225,1.336,0.5105,0.8495,0.8405,1.336,0.458,0.143
90,0.424,0.8955,1.3085,0.502,0.832,0.8205,1.301,0.447,0.1415
91,0.414,0.879,1.2815,0.485,0.817,0.7995,1.2595,0.438,0.14
92,0.4055,0.863,1.248,0.475,0.795,0.7795,1.2265,0.428,0.1345
93,0.3955,0.8465,1.216,0.4595,0.7785,0.756,1.1965,0.4165,0.1315
94,0.389,0.8235,1.194,0.447,0.7525,0.731,1.167,0.4035,0.1305
95,0.379,0.807,1.169,0.431,0.728,0.7085,1.138,0.389,0.13
96,0.372,0.79,1.139,0.42,0.7075,0.681,1.099,0.383,0.1295
97,0.367,0.773,1.113,0.407,0.6865,0.653,1.065,0.37,0.128
98,0.3625,0.754,1.0825,0.3945,0.662,0.632,1.03,0.361,0.1255
99,0.355,0.7375,1.0545,0.381,0.641,0.6025,1.0005,0.3495,0.124
100,0.3495,0.724,1.0225,0.3675,0.6205,0.5775,0.9635,0.34,0.122
101,0.34,0.703,0.999,0.3495,0.599,0.5605,0.93,0.329,0.1185
