BlockDepth,ResTime
0.813149951,1.200746547
0.851898188,1.96258178
0.783375723,0.91334952
0.819513541,0.501040605
0.806019465,0.37041083
0.894463852,0.317089533
0.797416938,0.398560095
0.622327541,1.757270779
0.852565505,0.633791406
0.834994754,0.588808783
0.83054987,0.539813042
0.844319552,0.481356937
0.88992016,0.321782251
0.871429745,0.309182696
0.879180616,0.640512562
0.864305976,0.618402696
0.839760641,0.421512708
0.849818396,0.422625487
0.906512974,0.231483485
0.867115916,0.378881198
0.868846664,0.453593698
0.742644081,0.769330293
0.895591265,0.247353535
0.85507122,0.567854009
0.729875399,1.60709556
0.652249372,0.470071617
0.854473973,0.408698539
0.833433328,0.378297921
0.882213666,0.36225008
0.802244024,1.419418975
0.852706156,0.549156896
0.84798972,0.690565278
0.845829885,0.661362529
0.672269973,0.448418508
0.837107634,0.679540364
0.620388195,2.77018887
0.796698483,1.575677251
0.852191344,0.363321849
0.652612228,1.590089786
0.881575785,0.24969306
0.84885498,1.138537556
0.736003898,0.991463525
0.765994355,0.661677096
0.843425283,0.719943617
0.857601395,0.479859418
0.791444735,1.045053051
0.716888258,0.676235713
0.841621709,1.043850859
0.820779471,0.506940042
0.895407181,0.251046799
0.872673028,0.822060108
0.835901829,0.471507493
0.810553312,0.502486911
0.838928761,0.881133045
0.886525268,0.233517865
0.682406206,0.451314741
0.873933524,0.516613051
0.775608079,0.430382364
0.823087265,0.483145043
0.781925563,1.187338387
0.832590833,0.780395731
0.854847194,0.426350467
0.650244004,0.660407865
0.874277998,0.448609111
0.836562879,0.540026695
0.883438887,0.445146058
0.863760332,0.320382859
0.841983402,1.280699404
0.686138285,1.203158965
0.893703848,0.181926345
0.911373859,0.264595231
0.8430553,2.259778908
0.658133606,1.744952611
0.684695784,0.917156137
0.832227863,0.672917457
0.852957537,0.61037455
0.775215321,0.761755584
0.634384237,1.249774959
0.866887841,0.713026861
0.885442126,0.342345276
0.896608311,0.255722775
0.868659038,0.379802718
0.81980396,2.180514741
0.898219361,0.255869381
0.838026957,1.188701871
0.836794265,0.994715953
0.871145365,0.327042306
0.767530182,0.490122801
0.905320687,0.256460001
0.667676252,0.836088055
0.868595645,0.952012588
0.864135306,0.352807024
0.868195156,0.285244277
0.900448654,0.228441574
0.805868146,0.991010043
0.323171369,7.898680259
0.826164372,0.661594668
0.639425857,0.730264195
0.86730639,0.389265941
0.852933516,0.648721862
0.682312348,0.569060692
0.720922859,0.439496032
0.844010713,0.310463482
0.846436323,0.713069192
0.787022644,0.500223257
0.627707207,0.657674814
0.836650674,1.938932313
0.834647538,1.303549881
0.894046768,0.354356015
0.818101277,1.541768769
0.642374012,0.613688336
0.80658215,0.777393032
0.846619143,0.453669808
0.798316331,0.369248836
0.805792468,1.731138658
0.860197352,1.350493874
0.525798519,1.002744939
0.828564759,1.252073988
0.837951992,1.000903477
0.782690801,1.966226779
0.821486926,0.319261648
0.856657617,0.348250774
0.864891158,0.362913919
0.701060796,1.127040646
0.847970419,0.890329202
0.783693515,0.572574112
0.70787979,0.777366529
0.793243805,1.259181289
0.739657442,3.259413239
0.842673404,1.748830193
0.856704493,0.829745354
0.853670702,0.260150002
0.84095242,0.530843285
0.833847685,1.225594248
0.846660176,0.531688444
0.847969691,0.33676573
0.881022348,0.359671371
0.823400494,1.737915079
0.75788215,1.55866908
0.724666051,0.592072237
0.872136367,0.285173208
0.774459287,0.430891534
0.811513842,1.849134085
0.594552851,0.817002722
0.81975529,0.585543943
0.836425036,1.294061213
0.909971174,0.154602344
0.849995949,0.493877903
0.820345027,0.987785247
0.80267894,1.103122196
0.892503627,0.251923246
0.644377161,0.73419761
0.819710801,1.037667925
0.649285437,1.043726431
0.847457682,0.673258071
0.869253886,0.271684087
0.723023845,1.237815854
0.65592002,1.059997857
0.798416453,0.500227241
0.836143268,0.619219698
0.884462433,0.296854335
0.878044007,0.266416059
0.870243511,0.278374406
0.849032217,1.333392995
0.890471775,0.285703856
0.839678661,0.338930173
0.869677817,0.340082237
0.864469419,0.40717252
0.732092988,0.643033141
0.836785657,0.453954609
0.728575264,0.926660089
0.720507189,0.528950409
0.869030323,0.392072849
0.745980035,0.571949728
0.898259446,0.210806152
0.859891112,0.331712147
0.808469826,0.591668684
0.723663284,0.895186909
0.784182379,1.083471075
0.885229769,0.353138888
0.640332079,0.740060041
0.833414471,1.921258296
0.852543732,0.521926959
0.886204942,0.336272174
0.764961381,1.340270453
0.866599455,0.355149986
0.810067158,1.100372667
0.636281865,1.014004848
0.742309449,0.689257435
0.88454643,0.330043336
0.80223798,0.746358122
0.854132736,0.692149301
0.830598693,0.719801174
0.884244469,0.354413992
0.825732124,1.008701876
0.856022026,0.42129085
0.839811612,0.552603074
0.787845304,1.075115279
0.867837087,0.382881941
0.635757159,0.555315778
0.829804618,0.387751994
0.892733589,0.687747541
0.905007425,0.174223824
0.675064262,0.775878224
0.676684604,1.111452306
0.866499264,0.402916881
0.80311044,1.475288898
0.652596285,0.494537167
0.676774003,1.423459996
0.837103191,0.618445848
0.655398521,0.317964607
0.891675532,0.455512703
0.850074434,0.487623172
0.850146643,0.521705002
0.834081286,0.30936956
0.869487338,0.773470559
0.83826108,0.511573154
0.872337606,0.330652626
0.823336553,0.700201112
0.832329639,0.544088161
0.80499754,0.791979484
0.868237915,0.381406867
0.853430719,0.468843757
0.837042094,0.383218345
0.829948505,0.453023067
0.761534535,0.887230993
0.866176589,0.376136762
0.908174476,0.336583575
0.895115606,0.250632464
0.843770118,0.401144144
0.766792705,0.408289969
0.827660631,0.613106726
0.840905877,0.957826735
0.910011769,0.225092806
0.795387107,1.284523631
0.822589168,1.50672137
0.847998721,0.458200267
0.76808547,2.76928875
0.812699767,1.082805999
0.826228352,1.372132234
0.771649441,0.549059911
0.831179172,0.651097541
0.896366382,0.274510853
0.839018449,0.580402419
0.663503885,0.451409988
0.790126871,1.515058274
0.82100236,0.340614144
0.859559174,0.56808056
0.812318634,0.388171318
0.848158377,0.481656332
0.854657389,0.56410073
0.910758706,0.273980708
0.822906391,0.742058013
0.864219481,0.401889897
0.782256161,0.339639844
0.871031797,0.502008087
0.746075549,1.859308086
0.869322358,0.375435583
0.806768692,1.518920733
0.863357106,0.497685703
0.859909904,0.370323482
0.801483289,0.532740245
0.854045652,0.421103552
0.819089812,1.348122576
0.852859405,0.588140056
0.797515414,0.282332759
0.834077126,0.400915322
0.81776504,1.109980767
0.838476509,0.727013999
0.780946737,0.4295837
0.813064996,0.46967646
0.856893933,0.471525532
0.637715456,0.65221807
0.867628575,0.303664554
0.727462632,0.834174148
0.841641859,0.790671858
0.824816239,0.767460593
0.832765419,0.689771999
0.877473337,0.345991174
0.848023802,0.402961608
0.849509374,0.659376231
0.872004015,0.516346791
0.859165914,0.372030254
0.68989696,0.739256957
0.812689431,0.371113507
0.883275041,0.350566308
0.602766734,1.08287868
0.856383783,0.334662121
0.920673876,0.186299574
0.836838554,0.743841037
0.638497123,1.025877208
0.857127652,0.381087689
0.821191505,0.693866757
0.839960754,0.317974069
0.805133852,0.790862669
0.860498771,0.512840845
0.781069899,0.530131228
0.899786625,0.260949094
0.87016178,0.280440047
0.882721355,0.358585923
0.818431028,0.883962471
0.761867105,0.578336849
0.84161419,0.895783716
0.904057639,0.276730206
0.860051488,0.541416916
0.821472832,0.610872529
0.809843933,0.878754856
0.716547446,0.931919346
0.817912367,2.299328569
0.86942133,0.293246143
0.858270429,0.836737751
0.632822404,1.266783395
0.780491316,0.434214792
0.821277064,0.447266255
0.841616584,0.838337075
0.794383788,0.48265134
0.810192538,0.611825075
0.80312066,0.881371873
0.820841941,0.889181465
0.770993198,1.074014374
0.659973685,1.455709498
0.843117983,0.328270319
0.712418915,0.429256613
0.425511482,0.49218811
0.634966842,0.813738231
0.620523692,2.065900192
0.853393878,0.462454873
0.784228571,0.74861161
0.879012004,0.44597261
0.893996415,0.352236116
0.837931952,0.318426516
0.815805347,0.584128586
0.713174407,0.400521391
0.728811312,0.569142233
0.610810261,0.916530376
0.67401438,0.616005103
0.816874627,0.352092674
0.831284386,0.600265381
0.782369672,1.051071249
0.839904408,0.569923873
0.847300169,0.52903323
0.798796219,0.690585936
0.761628007,1.086073438
0.854835968,0.409547014
0.866308839,0.579214575
0.847399619,0.919592108
0.885148567,0.37143675
0.655926707,0.609498644
0.840261762,0.936460428
